campaign	source_path	line	dependency_syntax	dependency_token	resolution_kind	resolved_path	resolved_sha256	source_unit	dependency_unit
shader-build-authority	renderer/src/shaders/spirv/clear_clockwise_atomic_clip.main	18	cpp-include	clear_clockwise_atomic_clip.minified.glsl	generated-from-owned-source	renderer/src/shaders/clear_clockwise_atomic_clip.glsl	75e9b26beb81bf9279a78e13c0510dca4e60f704ad9710ae368c116b1aa13da6	shader:source:clear_clockwise_atomic_clip	shader:source:clear_clockwise_atomic_clip
shader-build-authority	renderer/src/shaders/spirv/color_ramp.main	3	cpp-include	glsl.minified.glsl	generated-from-owned-source	renderer/src/shaders/glsl.glsl	d7e3b795badbe6e5108f268ddea4f7c0bb5af4ad1416e41c7304beca89a15523	shader:source:color_ramp	shader:source:glsl
shader-build-authority	renderer/src/shaders/spirv/color_ramp.main	4	cpp-include	constants.minified.glsl	generated-from-owned-source	renderer/src/shaders/constants.glsl	eefc0b9115beb4fe87b85431b0c683fdec73244c044278e97fdba0c96014bb56	shader:source:color_ramp	shader:source:constants
shader-build-authority	renderer/src/shaders/spirv/color_ramp.main	5	cpp-include	flush_uniforms.minified.glsl	generated-from-owned-source	renderer/src/shaders/flush_uniforms.glsl	1c22659c0e40233b0b06515287e122e06b73a4428d8e78721ca71e3419db961e	shader:source:color_ramp	shader:source:flush_uniforms
shader-build-authority	renderer/src/shaders/spirv/color_ramp.main	6	cpp-include	common.minified.glsl	generated-from-owned-source	renderer/src/shaders/common.glsl	37d9f72c2ec84a9a24b42d8798c56c77e396c7b57a39f24edece8c95fe8b3881	shader:source:color_ramp	shader:source:common
shader-build-authority	renderer/src/shaders/spirv/color_ramp.main	7	cpp-include	color_ramp.minified.glsl	generated-from-owned-source	renderer/src/shaders/color_ramp.glsl	65d0e8610193de1a7bf02722bcc153f04474e0d57644a35fd56291333ee8fde1	shader:source:color_ramp	shader:source:color_ramp
shader-build-authority	renderer/src/shaders/spirv/draw_atlas_blit.main	6	cpp-include	glsl.minified.glsl	generated-from-owned-source	renderer/src/shaders/glsl.glsl	d7e3b795badbe6e5108f268ddea4f7c0bb5af4ad1416e41c7304beca89a15523	shader:source:draw_atlas_blit	shader:source:glsl
shader-build-authority	renderer/src/shaders/spirv/draw_atlas_blit.main	7	cpp-include	constants.minified.glsl	generated-from-owned-source	renderer/src/shaders/constants.glsl	eefc0b9115beb4fe87b85431b0c683fdec73244c044278e97fdba0c96014bb56	shader:source:draw_atlas_blit	shader:source:constants
shader-build-authority	renderer/src/shaders/spirv/draw_atlas_blit.main	8	cpp-include	specialization.minified.glsl	generated-from-owned-source	renderer/src/shaders/specialization.glsl	e510983192e84c1cc69d990a14f606cfa92af234290636593d5be3e3f4e07f72	shader:source:draw_atlas_blit	shader:source:specialization
shader-build-authority	renderer/src/shaders/spirv/draw_atlas_blit.main	9	cpp-include	flush_uniforms.minified.glsl	generated-from-owned-source	renderer/src/shaders/flush_uniforms.glsl	1c22659c0e40233b0b06515287e122e06b73a4428d8e78721ca71e3419db961e	shader:source:draw_atlas_blit	shader:source:flush_uniforms
shader-build-authority	renderer/src/shaders/spirv/draw_atlas_blit.main	10	cpp-include	common.minified.glsl	generated-from-owned-source	renderer/src/shaders/common.glsl	37d9f72c2ec84a9a24b42d8798c56c77e396c7b57a39f24edece8c95fe8b3881	shader:source:draw_atlas_blit	shader:source:common
shader-build-authority	renderer/src/shaders/spirv/draw_atlas_blit.main	11	cpp-include	draw_path_common.minified.glsl	generated-from-owned-source	renderer/src/shaders/draw_path_common.glsl	3a6e72e80eec81b2eb467134f62188e2a86f7debfb0798a8c4ed5873beb7e86e	shader:source:draw_atlas_blit	shader:source:draw_path_common
shader-build-authority	renderer/src/shaders/spirv/draw_atlas_blit.main	12	cpp-include	advanced_blend.minified.glsl	generated-from-owned-source	renderer/src/shaders/advanced_blend.glsl	d7f8d9cec8e095c7e6d331a9f3ba48cdb18ea63f961d9223e3dfc509bcd8794b	shader:source:draw_atlas_blit	shader:source:advanced_blend
shader-build-authority	renderer/src/shaders/spirv/draw_atlas_blit.main	13	cpp-include	draw_path.minified.vert	generated-from-owned-source	renderer/src/shaders/draw_path.vert	b247e0f8a6016df848814454ce0fdf2d4b2a6a81a70484bb223b5d939059ae71	shader:source:draw_atlas_blit	shader:source:draw_path
shader-build-authority	renderer/src/shaders/spirv/draw_atlas_blit.main	14	cpp-include	draw_mesh.minified.frag	generated-from-owned-source	renderer/src/shaders/draw_mesh.frag	d3a060c05d66e187ca2a0edab03788e7d885364ba833237e2e89f39a2b5e9c1f	shader:source:draw_atlas_blit	shader:source:draw_mesh
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atlas_blit.main	7	cpp-include	glsl.minified.glsl	generated-from-owned-source	renderer/src/shaders/glsl.glsl	d7e3b795badbe6e5108f268ddea4f7c0bb5af4ad1416e41c7304beca89a15523	shader:source:draw_clockwise_atlas_blit	shader:source:glsl
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atlas_blit.main	8	cpp-include	constants.minified.glsl	generated-from-owned-source	renderer/src/shaders/constants.glsl	eefc0b9115beb4fe87b85431b0c683fdec73244c044278e97fdba0c96014bb56	shader:source:draw_clockwise_atlas_blit	shader:source:constants
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atlas_blit.main	9	cpp-include	specialization.minified.glsl	generated-from-owned-source	renderer/src/shaders/specialization.glsl	e510983192e84c1cc69d990a14f606cfa92af234290636593d5be3e3f4e07f72	shader:source:draw_clockwise_atlas_blit	shader:source:specialization
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atlas_blit.main	10	cpp-include	flush_uniforms.minified.glsl	generated-from-owned-source	renderer/src/shaders/flush_uniforms.glsl	1c22659c0e40233b0b06515287e122e06b73a4428d8e78721ca71e3419db961e	shader:source:draw_clockwise_atlas_blit	shader:source:flush_uniforms
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atlas_blit.main	11	cpp-include	common.minified.glsl	generated-from-owned-source	renderer/src/shaders/common.glsl	37d9f72c2ec84a9a24b42d8798c56c77e396c7b57a39f24edece8c95fe8b3881	shader:source:draw_clockwise_atlas_blit	shader:source:common
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atlas_blit.main	12	cpp-include	draw_path_common.minified.glsl	generated-from-owned-source	renderer/src/shaders/draw_path_common.glsl	3a6e72e80eec81b2eb467134f62188e2a86f7debfb0798a8c4ed5873beb7e86e	shader:source:draw_clockwise_atlas_blit	shader:source:draw_path_common
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atlas_blit.main	13	cpp-include	advanced_blend.minified.glsl	generated-from-owned-source	renderer/src/shaders/advanced_blend.glsl	d7f8d9cec8e095c7e6d331a9f3ba48cdb18ea63f961d9223e3dfc509bcd8794b	shader:source:draw_clockwise_atlas_blit	shader:source:advanced_blend
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atlas_blit.main	14	cpp-include	draw_path.minified.vert	generated-from-owned-source	renderer/src/shaders/draw_path.vert	b247e0f8a6016df848814454ce0fdf2d4b2a6a81a70484bb223b5d939059ae71	shader:source:draw_clockwise_atlas_blit	shader:source:draw_path
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atlas_blit.main	15	cpp-include	draw_mesh.minified.frag	generated-from-owned-source	renderer/src/shaders/draw_mesh.frag	d3a060c05d66e187ca2a0edab03788e7d885364ba833237e2e89f39a2b5e9c1f	shader:source:draw_clockwise_atlas_blit	shader:source:draw_mesh
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_atlas_blit.main	8	cpp-include	glsl.minified.glsl	generated-from-owned-source	renderer/src/shaders/glsl.glsl	d7e3b795badbe6e5108f268ddea4f7c0bb5af4ad1416e41c7304beca89a15523	shader:source:draw_clockwise_atomic_atlas_blit	shader:source:glsl
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_atlas_blit.main	9	cpp-include	constants.minified.glsl	generated-from-owned-source	renderer/src/shaders/constants.glsl	eefc0b9115beb4fe87b85431b0c683fdec73244c044278e97fdba0c96014bb56	shader:source:draw_clockwise_atomic_atlas_blit	shader:source:constants
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_atlas_blit.main	10	cpp-include	specialization.minified.glsl	generated-from-owned-source	renderer/src/shaders/specialization.glsl	e510983192e84c1cc69d990a14f606cfa92af234290636593d5be3e3f4e07f72	shader:source:draw_clockwise_atomic_atlas_blit	shader:source:specialization
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_atlas_blit.main	11	cpp-include	flush_uniforms.minified.glsl	generated-from-owned-source	renderer/src/shaders/flush_uniforms.glsl	1c22659c0e40233b0b06515287e122e06b73a4428d8e78721ca71e3419db961e	shader:source:draw_clockwise_atomic_atlas_blit	shader:source:flush_uniforms
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_atlas_blit.main	12	cpp-include	common.minified.glsl	generated-from-owned-source	renderer/src/shaders/common.glsl	37d9f72c2ec84a9a24b42d8798c56c77e396c7b57a39f24edece8c95fe8b3881	shader:source:draw_clockwise_atomic_atlas_blit	shader:source:common
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_atlas_blit.main	13	cpp-include	draw_path_common.minified.glsl	generated-from-owned-source	renderer/src/shaders/draw_path_common.glsl	3a6e72e80eec81b2eb467134f62188e2a86f7debfb0798a8c4ed5873beb7e86e	shader:source:draw_clockwise_atomic_atlas_blit	shader:source:draw_path_common
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_atlas_blit.main	14	cpp-include	advanced_blend.minified.glsl	generated-from-owned-source	renderer/src/shaders/advanced_blend.glsl	d7f8d9cec8e095c7e6d331a9f3ba48cdb18ea63f961d9223e3dfc509bcd8794b	shader:source:draw_clockwise_atomic_atlas_blit	shader:source:advanced_blend
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_atlas_blit.main	15	cpp-include	draw_path.minified.vert	generated-from-owned-source	renderer/src/shaders/draw_path.vert	b247e0f8a6016df848814454ce0fdf2d4b2a6a81a70484bb223b5d939059ae71	shader:source:draw_clockwise_atomic_atlas_blit	shader:source:draw_path
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_atlas_blit.main	16	cpp-include	draw_mesh.minified.frag	generated-from-owned-source	renderer/src/shaders/draw_mesh.frag	d3a060c05d66e187ca2a0edab03788e7d885364ba833237e2e89f39a2b5e9c1f	shader:source:draw_clockwise_atomic_atlas_blit	shader:source:draw_mesh
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage.frag	9	cpp-include	glsl.minified.glsl	generated-from-owned-source	renderer/src/shaders/glsl.glsl	d7e3b795badbe6e5108f268ddea4f7c0bb5af4ad1416e41c7304beca89a15523	shader:source:draw_clockwise_atomic_borrowed_coverage	shader:source:glsl
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage.frag	10	cpp-include	constants.minified.glsl	generated-from-owned-source	renderer/src/shaders/constants.glsl	eefc0b9115beb4fe87b85431b0c683fdec73244c044278e97fdba0c96014bb56	shader:source:draw_clockwise_atomic_borrowed_coverage	shader:source:constants
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage.frag	11	cpp-include	specialization.minified.glsl	generated-from-owned-source	renderer/src/shaders/specialization.glsl	e510983192e84c1cc69d990a14f606cfa92af234290636593d5be3e3f4e07f72	shader:source:draw_clockwise_atomic_borrowed_coverage	shader:source:specialization
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage.frag	12	cpp-include	flush_uniforms.minified.glsl	generated-from-owned-source	renderer/src/shaders/flush_uniforms.glsl	1c22659c0e40233b0b06515287e122e06b73a4428d8e78721ca71e3419db961e	shader:source:draw_clockwise_atomic_borrowed_coverage	shader:source:flush_uniforms
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage.frag	13	cpp-include	common.minified.glsl	generated-from-owned-source	renderer/src/shaders/common.glsl	37d9f72c2ec84a9a24b42d8798c56c77e396c7b57a39f24edece8c95fe8b3881	shader:source:draw_clockwise_atomic_borrowed_coverage	shader:source:common
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage.frag	14	cpp-include	draw_path_common.minified.glsl	generated-from-owned-source	renderer/src/shaders/draw_path_common.glsl	3a6e72e80eec81b2eb467134f62188e2a86f7debfb0798a8c4ed5873beb7e86e	shader:source:draw_clockwise_atomic_borrowed_coverage	shader:source:draw_path_common
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage.frag	15	cpp-include	advanced_blend.minified.glsl	generated-from-owned-source	renderer/src/shaders/advanced_blend.glsl	d7f8d9cec8e095c7e6d331a9f3ba48cdb18ea63f961d9223e3dfc509bcd8794b	shader:source:draw_clockwise_atomic_borrowed_coverage	shader:source:advanced_blend
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage.frag	16	cpp-include	draw_path.minified.vert	generated-from-owned-source	renderer/src/shaders/draw_path.vert	b247e0f8a6016df848814454ce0fdf2d4b2a6a81a70484bb223b5d939059ae71	shader:source:draw_clockwise_atomic_borrowed_coverage	shader:source:draw_path
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage.frag	17	cpp-include	draw_clockwise_atomic_borrowed_coverage.minified.frag	generated-from-owned-source	renderer/src/shaders/draw_clockwise_atomic_borrowed_coverage.frag	ddb9ef796b76b9d6bd2e743a0766aaf6b66732f124d1ddfcc80d2951db970a92	shader:source:draw_clockwise_atomic_borrowed_coverage	shader:source:draw_clockwise_atomic_borrowed_coverage
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage_interior_triangles.frag	8	cpp-include	glsl.minified.glsl	generated-from-owned-source	renderer/src/shaders/glsl.glsl	d7e3b795badbe6e5108f268ddea4f7c0bb5af4ad1416e41c7304beca89a15523	shader:source:draw_clockwise_atomic_borrowed_coverage_interior_triangles	shader:source:glsl
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage_interior_triangles.frag	9	cpp-include	constants.minified.glsl	generated-from-owned-source	renderer/src/shaders/constants.glsl	eefc0b9115beb4fe87b85431b0c683fdec73244c044278e97fdba0c96014bb56	shader:source:draw_clockwise_atomic_borrowed_coverage_interior_triangles	shader:source:constants
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage_interior_triangles.frag	10	cpp-include	specialization.minified.glsl	generated-from-owned-source	renderer/src/shaders/specialization.glsl	e510983192e84c1cc69d990a14f606cfa92af234290636593d5be3e3f4e07f72	shader:source:draw_clockwise_atomic_borrowed_coverage_interior_triangles	shader:source:specialization
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage_interior_triangles.frag	11	cpp-include	flush_uniforms.minified.glsl	generated-from-owned-source	renderer/src/shaders/flush_uniforms.glsl	1c22659c0e40233b0b06515287e122e06b73a4428d8e78721ca71e3419db961e	shader:source:draw_clockwise_atomic_borrowed_coverage_interior_triangles	shader:source:flush_uniforms
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage_interior_triangles.frag	12	cpp-include	common.minified.glsl	generated-from-owned-source	renderer/src/shaders/common.glsl	37d9f72c2ec84a9a24b42d8798c56c77e396c7b57a39f24edece8c95fe8b3881	shader:source:draw_clockwise_atomic_borrowed_coverage_interior_triangles	shader:source:common
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage_interior_triangles.frag	13	cpp-include	draw_path_common.minified.glsl	generated-from-owned-source	renderer/src/shaders/draw_path_common.glsl	3a6e72e80eec81b2eb467134f62188e2a86f7debfb0798a8c4ed5873beb7e86e	shader:source:draw_clockwise_atomic_borrowed_coverage_interior_triangles	shader:source:draw_path_common
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage_interior_triangles.frag	14	cpp-include	advanced_blend.minified.glsl	generated-from-owned-source	renderer/src/shaders/advanced_blend.glsl	d7f8d9cec8e095c7e6d331a9f3ba48cdb18ea63f961d9223e3dfc509bcd8794b	shader:source:draw_clockwise_atomic_borrowed_coverage_interior_triangles	shader:source:advanced_blend
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage_interior_triangles.frag	15	cpp-include	draw_path.minified.vert	generated-from-owned-source	renderer/src/shaders/draw_path.vert	b247e0f8a6016df848814454ce0fdf2d4b2a6a81a70484bb223b5d939059ae71	shader:source:draw_clockwise_atomic_borrowed_coverage_interior_triangles	shader:source:draw_path
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_borrowed_coverage_interior_triangles.frag	16	cpp-include	draw_clockwise_atomic_borrowed_coverage.minified.frag	generated-from-owned-source	renderer/src/shaders/draw_clockwise_atomic_borrowed_coverage.frag	ddb9ef796b76b9d6bd2e743a0766aaf6b66732f124d1ddfcc80d2951db970a92	shader:source:draw_clockwise_atomic_borrowed_coverage_interior_triangles	shader:source:draw_clockwise_atomic_borrowed_coverage
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_clip.frag	9	cpp-include	glsl.minified.glsl	generated-from-owned-source	renderer/src/shaders/glsl.glsl	d7e3b795badbe6e5108f268ddea4f7c0bb5af4ad1416e41c7304beca89a15523	shader:source:draw_clockwise_atomic_clip	shader:source:glsl
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_clip.frag	10	cpp-include	constants.minified.glsl	generated-from-owned-source	renderer/src/shaders/constants.glsl	eefc0b9115beb4fe87b85431b0c683fdec73244c044278e97fdba0c96014bb56	shader:source:draw_clockwise_atomic_clip	shader:source:constants
shader-build-authority	renderer/src/shaders/spirv/draw_clockwise_atomic_clip.frag	11	cpp-include	specialization.minified.glsl	generated-from-owned-source	renderer/src/shaders/specialization.glsl	e510983192e84c1cc69d990a14f606cfa92af234290636593d5be3e3f4e07f72	shader:source:draw_clockwise_atomic_clip	shader:source:specialization
