artifact_path	artifact_sha256	logical_lines	artifact_role	review_overlay	source_authority	disposition
crates/nuxie-renderer/src/mechanical_port/source/include/rive/renderer_hpp.rs	796f9ba61267ec5c7dcd835b99dc91d7ea21870d6a2900899393459792d6a399	1127	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/buffer_ring_hpp.rs	10287a4fa07d06ffb3c87cea3c208dc733095378fd6be5c261af1191015a84d1	334	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_helper_impl_hpp.rs	bec143fe781842c56b961f21afc1c5b57dc0318a3e47bbc89c8264af0a9b7625	681	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_hpp.rs	02e3a5690f72d87fa75b19635ab020c15b0b8b9b60f5fe5949bc9cf42656245f	2781	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_impl_hpp.rs	32c6bce92b56b7e1b7beb1a779a0f67967789cff3e65ff81046a15d9470f0c23	664	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_target_hpp.rs	74cad04e1fcfced3bee1bbc40a1c5ec0862f91f0e611802f5c1683162735f346	235	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/texture_hpp.rs	c36fe7c1334afd58dfa91e5e2f17282e374e44ef673c8bb23f9905c74fda8b71	226	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/renderer/src/metal/render_context_metal_impl_mm.rs	ebffa4ed62daa3b3dc4ea67952d781e8c75d34ad0dab921b13d4cfc081cb79f3	15204	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/renderer/src/render_context_cpp.rs	8ec2376e6b798dcb05ac01a92ae5338b98d3c0605963e5a2c6719492fceaadd2	7828	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/renderer/src/render_context_helper_impl_cpp.rs	ca9b5d54eb13ba2dd33bda342e44679be26c7e066918504bd8da771a6359c887	365	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/renderer/src/rive_render_image_cpp.rs	c7813814cb77b0a7d4c93163399beb37ace766ff2760a2eea7daeb7a74fce032	68	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/src/renderer_cpp.rs	481162b41e0849d174bf8b1ca26449ca7b363f517a82dcec96acb1f2a51ae316	708	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
crates/nuxie-renderer/src/native_metal/mechanical_render_context.rs	ab2e2be7ce4ed433de3f8317b775a0b800a26f85f6e610ec50e09198509616bd	1417	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
vendor/vk-mem-0.5.0/src/definitions.rs	acda79fcff3fd5f4c7be63332fb5f532e102428ed4975a3bc50e59b5d440e9d0	843	vulkan-memory-adaptation	vulkan-vma-adaptation	pinned-vma-and-vulkan-headers	review-full-source-semantics
vendor/vk-mem-0.5.0/src/defragmentation.rs	b12d1dca48ea22135222ca81c6c7a656a29d6da79290b05602c55f4045830a52	82	vulkan-memory-adaptation	vulkan-vma-adaptation	pinned-vma-and-vulkan-headers	review-full-source-semantics
vendor/vk-mem-0.5.0/src/ffi.rs	2ce728e6ea88173959a3bdfb0a622725f6c656e0e62e46c14ebb2e0c1c4dd079	1060	vulkan-memory-adaptation	vulkan-vma-adaptation	pinned-vma-and-vulkan-headers	review-full-source-semantics
vendor/vk-mem-0.5.0/src/lib.rs	cbcf33ccf39466aa07c9d03ef51a4149249d34894e36260f48c3ce9dfc602379	589	vulkan-memory-adaptation	vulkan-vma-adaptation	pinned-vma-and-vulkan-headers	review-full-source-semantics
vendor/vk-mem-0.5.0/src/pool.rs	36d82c2e6a401a1c93410c4cfa8c863949e16bab18f85db602a2a12b8588ea0e	444	vulkan-memory-adaptation	vulkan-vma-adaptation	pinned-vma-and-vulkan-headers	review-full-source-semantics
vendor/vk-mem-0.5.0/src/virtual_block.rs	6c1ad8f867889bd8522620389ddb417a350450165efc82e846517ac707fe9b58	105	vulkan-memory-adaptation	vulkan-vma-adaptation	pinned-vma-and-vulkan-headers	review-full-source-semantics
tools/backend-port/generate_wagyu_bindings.py	621d6c2d642afecc7e3f38c3342dec6e64a292daec5d56f58f650e2875537f1c	391	webgpu-binding-generator	webgpu-abi	pinned-wagyu-api	review-full-source-semantics
tools/backend-port/generate_webgpu_cpp_binding.py	12160fe8d3fb205e14d4d1e3e7f779ca3500815c7f88c870945be0a89c093744	585	webgpu-binding-generator	webgpu-abi	pinned-wagyu-api	review-full-source-semantics
vendor/vk-mem-0.5.0/build.rs	ac2fb970751a249f170029ecc87dccde4f6a333f7455a34e20ed18f5494065a5	172	vulkan-memory-adaptation	vulkan-vma-adaptation	pinned-vma-and-vulkan-headers	review-full-source-semantics
vendor/vk-mem-0.5.0/wrapper.cpp	c5784cb2d475291fc68735ab32357a7a739d4257f7956b7edc5ba265ab1fc3c5	2	vulkan-memory-adaptation	vulkan-vma-adaptation	pinned-vma-and-vulkan-headers	review-full-source-semantics
vendor/vk-mem-0.5.0/vendor/VulkanMemoryAllocator/include/vk_mem_alloc.h	90ce12fc4a2466235a09ae02905dd0c13aee80c1bbf11b331ab61230c2ceb112	19530	vulkan-memory-adaptation	vulkan-vma-adaptation	pinned-vma-and-vulkan-headers	review-full-source-semantics
vendor/vk-mem-0.5.0/NUXIE_PATCH.md	5b4993878e1667b7882db15f6911b93e60da8fb34782c350aee5fc755bf50a1c	18	vulkan-memory-adaptation	vulkan-vma-adaptation	pinned-vma-and-vulkan-headers	review-full-source-semantics
tools/backend-port/build_shader_authority_translations.py	01cd8f54064e2bdfbd9173067e84e79705b7a0c1356ebe996025023fc7fe758e	207	shader-authority-generator	generated-authority	pinned-shader-build-graph	review-full-source-semantics
tools/backend-port/import_vulkan_spirv_headers.py	eb06a8e8ffd12c71713e151aa1474a380ebf33d0a05e8b62d72abf1e4a810571	110	vulkan-spirv-importer	generated-authority	pinned-vulkan-shader-build-graph	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/webgl2/source/renderer_src_gl_load_gles_extensions.cpp	3f5e89610af7119bc329a837a137ad961452d194e5962243418443d6795265f6	137	excluded-source-snapshot	classification-boundary	pinned-webgl2-build-exclusion	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/webgl2/source/renderer_src_ore_gl_ore_buffer_gl.mm	3a6a064a2602d059472f1d452a681cd7d149c1f1dcb1637c26f119f486692f04	3	excluded-source-snapshot	classification-boundary	pinned-webgl2-build-exclusion	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/webgl2/source/renderer_src_ore_gl_ore_context_gl.mm	47f05e2e92adc3d7c9f283800734dfcaba76206dcb2c563f4f162df697930a34	3	excluded-source-snapshot	classification-boundary	pinned-webgl2-build-exclusion	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/webgl2/source/renderer_src_ore_gl_ore_pipeline_gl.mm	14dc4a761b1f1588c20beb6d93a7072243fcfea0e72bcf55b324b31d423350f5	3	excluded-source-snapshot	classification-boundary	pinned-webgl2-build-exclusion	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/webgl2/source/renderer_src_ore_gl_ore_render_pass_gl.mm	973cd79234b06bebb397b28357ab042ca52f3a27dac5f5e4009290c03032cd7d	3	excluded-source-snapshot	classification-boundary	pinned-webgl2-build-exclusion	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/webgl2/source/renderer_src_ore_gl_ore_sampler_gl.mm	8f235053ddaccde3261a85861e94c7e2bab7ba82a0c4fe8fdb9914c92c9e3a67	3	excluded-source-snapshot	classification-boundary	pinned-webgl2-build-exclusion	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/webgl2/source/renderer_src_ore_gl_ore_shader_module_gl.mm	1612b74089d148b62a68aa1c08f30d4bf33cd5b563a30ea05293e9e828b475b0	3	excluded-source-snapshot	classification-boundary	pinned-webgl2-build-exclusion	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/webgl2/source/renderer_src_ore_gl_ore_texture_gl.mm	a6f198d2840ea065288718431caf921081599b92ce6bd5d9b53e273c32418c37	3	excluded-source-snapshot	classification-boundary	pinned-webgl2-build-exclusion	review-full-source-semantics
