version	upstream_sha	upstream_file	lines	symbol	status	rust_owner	remaining
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1651-1660	flush image mipmaps	partial	crates/nuxie-renderer/src/native_metal/image_texture.rs	no image reaches a native frame
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1661-1691	flush main attachments	partial	crates/nuxie-renderer/src/native_metal/mod.rs	load dont-care and preserve policies
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1692-1720	raster PLS attachments	partial	crates/nuxie-renderer/src/native_metal/mod.rs	descriptor-driven coverage clear and general raster flush wiring
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1721-1750	atomic preserve-target copy	missing	-	texture-to-color-buffer copy and BGRA swizzle
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1751-1821	flush batch policy and pipeline lookup	partial	crates/nuxie-renderer/src/native_metal/mod.rs	general DrawList and persistent compatible lookup
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1822-1835	flush scissor cache	partial	crates/nuxie-renderer/src/native_metal/mod.rs	general raster atlas and image batches
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1836-1856	flush image and sampler binding	missing	-	images are not admitted
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1857-1897	flush atomic barriers	ported	crates/nuxie-renderer/src/native_metal/mod.rs	admitted generic-atomic paths only
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1898-1926	flush patch draws	partial	crates/nuxie-renderer/src/native_metal/mod.rs	center-AA and general ranges
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1927-1939	flush interior and atlas triangles	partial	crates/nuxie-renderer/src/native_metal/mod.rs	general DrawList dispatch
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1940-1963	flush imageRect	missing	-	static buffers retained but never drawn
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1964-1988	flush imageMesh	missing	-	wrong-backend checks and mesh dispatch
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1989-1998	flush initialize and resolve	ported	crates/nuxie-renderer/src/native_metal/mod.rs	admitted generic-atomic paths only
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1999-2015	flush MSAA boundary	ported	crates/nuxie-renderer/src/native_metal/mod.rs	typed unsupported adaptation
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	2016-2030	postFlush and namespace close	partial	crates/nuxie-renderer/src/native_metal/context.rs	async completion-owned lease release
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	1-20	header preamble and BackgroundShaderCompiler declaration	ported	crates/nuxie-renderer/src/native_metal/background_shader_compiler.rs	-
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	21-88	RenderTargetMetal	ported	crates/nuxie-renderer/src/native_metal/render_target.rs	-
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	89-120	ContextOptions and MakeContext	partial	crates/nuxie-renderer/src/native_metal/mod.rs	device-injected public factory and remaining Apple construction matrix; public options and retained queue export are closed
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	121-160	public resource factories	ported	crates/nuxie-renderer/src/native_metal/context.rs	typed-error image decode and opt-in RIVE_CANVAS adaptations
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	161-189	AtomicBarrierType and MetalFeatures	ported	crates/nuxie-renderer/src/native_metal/capabilities.rs	macOS and iOS supported matrix
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	190-203	protected buffer rings and DrawPipeline declaration	ported	crates/nuxie-renderer/src/native_metal/context.rs	typed-owner adaptation
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	204-233	private orchestration methods	partial	crates/nuxie-renderer/src/native_metal/context.rs	general encoder pipeline cache flush and completion
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	234-282	context-owned fields and namespace close	partial	crates/nuxie-renderer/src/native_metal/context.rs	asynchronous postFlush completion; options compatible cache persistent compiler and exact queue are closed
