schema_version	upstream_ref	unit	upstream_path	field	cpp_ownership	rust_shape	threading	concrete_native_downcast_seam	release_invariant	failure_invariant	status	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	minFilter,magFilter,mipmapFilter,wrapU,wrapV,wrapW,compare,minLod,maxLod,maxAnisotropy,label	borrowed value descriptor plus optional label	SamplerDesc<'a> value fields plus Option<&'a str>	call scope	filter/wrap/compare conversions exhaustive	Metal descriptor temporary; sampler copies configuration	newSamplerState nil is unchecked and returns live sampler with None handle	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:379-392; cpp:renderer/src/ore/metal/ore_context_metal.mm:119-180; cpp:renderer/src/ore/metal/ore_context_metal.mm:565-590
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	code,codeSize,language,stage,label,hlslSource,hlslSourceSize,hlslEntryPoint,bindingMapBytes,bindingMapSize,glFixupBytes,glFixupSize,shaderAssetId	borrowed paired spans/strings plus values	ShaderModuleDesc<'a> with Option<&'a [u8]>/Option<&'a str>	call scope	Metal consumes code as UTF-8 MSL; BindingMap remains neutral	module copies parsed maps/fixups/id; native library compiles/copies source	decode/library may fail; binding map asserts; malformed GL fixup no-ops or partially appends	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:394-429; cpp:renderer/include/rive/renderer/ore/ore_shader_module.hpp:52-118; cpp:renderer/src/ore/metal/ore_context_metal.mm:593-612
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	VertexAttribute.format,VertexAttribute.offset,VertexAttribute.shaderSlot,VertexBufferLayout.stride,VertexBufferLayout.stepMode,VertexBufferLayout.attributes,VertexBufferLayout.attributeCount	owned attribute values; borrowed attribute slice in layout	VertexAttribute values; VertexBufferLayout<'a>{attributes:&'a [VertexAttribute],values}	creation scope	native vertex descriptor conversion	consumed during native pipeline creation; stored pipeline snapshot must own/copy	pointer/count mismatch must fail before slice construction	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:431-444; cpp:renderer/src/ore/metal/ore_context_metal.mm:662-717
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	BlendState.srcColor,BlendState.dstColor,BlendState.colorOp,BlendState.srcAlpha,BlendState.dstAlpha,BlendState.alphaOp,ColorTargetState.format,ColorTargetState.blendEnabled,ColorTargetState.blend,ColorTargetState.writeMask,StencilFaceState.compare,StencilFaceState.failOp,StencilFaceState.depthFailOp,StencilFaceState.passOp,DepthStencilState.format,DepthStencilState.depthCompare,DepthStencilState.depthWriteEnabled,DepthStencilState.depthBias,DepthStencilState.depthBiasSlopeScale,DepthStencilState.depthBiasClamp	owned nested values	corresponding Rust value structs	creation/read-only	exhaustive Metal enum conversions; rgba8unorm is no-depth sentinel	copied into pipeline/native descriptors	unsupported enum unreachable; attachment compatibility fails closed	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:446-483; cpp:renderer/src/ore/metal/ore_context_metal.mm:184-290; cpp:renderer/src/ore/metal/ore_context_metal.mm:718-764
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	StageVisibility.mask,BindGroupLayoutEntry.binding,BindGroupLayoutEntry.kind,BindGroupLayoutEntry.visibility,BindGroupLayoutEntry.hasDynamicOffset,BindGroupLayoutEntry.textureViewDim,BindGroupLayoutEntry.textureSampleType,BindGroupLayoutEntry.textureMultisampled,BindGroupLayoutEntry.minBindingSize,BindGroupLayoutEntry.nativeSlotVS,BindGroupLayoutEntry.nativeSlotFS,BindGroupLayoutEntry.nativeSlotCS	owned value record	bitflags plus BindGroupLayoutEntry values	creation/read-only	Metal consumes resolved VS/FS slots	copied into layout	layout/shader mismatch names error; absent VS+FS slots reject Metal entry	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:511-581; cpp:renderer/src/ore/ore_bind_group_layout.cpp:32-227; cpp:renderer/src/ore/metal/ore_context_metal.mm:869-910
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	groupIndex,entries,entryCount,label	borrowed entry slice/string plus value	BindGroupLayoutDesc<'a>{entries:&'a [..],label:Option<&'a str>,group_index}	creation scope	none	ContextMetal copies entries; label ignored	group and pointer/count validated before slice construction	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:583-592; cpp:renderer/src/ore/metal/ore_context_metal.mm:838-852
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	vertexModule,vertexEntryPoint,fragmentModule,fragmentEntryPoint,vertexBuffers,vertexBufferCount,topology,indexFormat,cullMode,winding,colorTargets,colorCount,depthStencil,stencilFront,stencilBack,stencilReadMask,stencilWriteMask,sampleCount,bindGroupLayouts,bindGroupLayoutCount,label	borrowed graph/strings/slices plus values; Pipeline shallow-copies it	PipelineDesc<'a> for the call; successful factory materializes owned PipelineSnapshot with Arc modules/layouts and copied strings/slices	creation then pipeline lifetime	modules downcast ShaderModuleMetal; layouts preserve exact identity	owned snapshot retains/copies every referenced value used after creation	missing/invalid modules, entries, layouts, formats, or native state preserve named factory errors	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:594-633; cpp:renderer/include/rive/renderer/ore/ore_pipeline.hpp:20-102; cpp:renderer/src/ore/metal/ore_context_metal.mm:615-836
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	ClearColor.r,ClearColor.g,ClearColor.b,ClearColor.a,ColorAttachment.view,ColorAttachment.resolveTarget,ColorAttachment.loadOp,ColorAttachment.storeOp,ColorAttachment.clearColor,DepthStencilAttachment.view,DepthStencilAttachment.depthLoadOp,DepthStencilAttachment.depthStoreOp,DepthStencilAttachment.depthClearValue,DepthStencilAttachment.stencilLoadOp,DepthStencilAttachment.stencilStoreOp,DepthStencilAttachment.stencilClearValue,RenderPassDesc.colorAttachments,RenderPassDesc.colorCount,RenderPassDesc.depthStencil,RenderPassDesc.label	borrowed attachment graph/string plus values	RenderPassDesc<'a> with borrowed concrete-erased views and bounded values	begin-pass call	all views downcast TextureViewMetal; source downcasts TextureMetal	native descriptor/command buffer retains encoded attachments; pass copies compatibility values	wrong backend asserts; >4/missing/incompatible attachment fails closed	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:635-666; cpp:renderer/src/ore/metal/ore_context_metal.mm:980-1080
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	layout,UBOEntry.slot,UBOEntry.buffer,UBOEntry.offset,UBOEntry.size,TexEntry.slot,TexEntry.view,SampEntry.slot,SampEntry.sampler,ubos,uboCount,textures,textureCount,samplers,samplerCount,label	borrowed layout/resources/arrays/string	BindGroupDesc<'a> with slices and resource borrows	creation scope	layout/buffer/view/sampler checked-downcast to Metal concrete	accepted entries upgraded to strong owners; binding records also own native texture/sampler	counts clamp to 8; invalid/unresolved entries set error and skip rather than failing whole call	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:672-705; cpp:renderer/src/ore/metal/ore_context_metal.mm:854-978
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	colorBufferFloat,colorBufferHalfFloat,perTargetBlend,perTargetWriteMask,textureViewSampling,drawBaseInstance,depthBiasClamp,anisotropicFiltering,texture3D,textureArrays,computeShaders,storageBuffers,bc,etc2,astc,maxColorAttachments,maxTextureSize2D,maxTextureSizeCube,maxTextureSize3D,maxUniformBufferSize,maxVertexAttributes,maxSamplers,maxSamples	owned capability values	Features value struct	context construction/read-only	mtlPopulateFeatures authority	owned by Context	availability/device probes; maxSamples tests 8,4,2 then 1	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:707-744; cpp:renderer/src/ore/metal/ore_context_metal.mm:346-414
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-bind-group	renderer/include/rive/renderer/ore/ore_bind_group.hpp	m_dynamicOffsetCount,m_layoutRef,m_retainedBuffers,m_retainedViews,m_retainedSamplers	owned scalar plus strong rcp layout/resource graph	u32,Arc<dyn BindGroupLayout>,Vec<Arc<dyn Buffer/TextureView/Sampler>>	recording; final release may be completion-thread	all trait objects preserve backend concrete identity	layout/resources outlive bind group; only accepted entries retained	null layout rejects; never replace strong owners with native borrows	prepared	cpp:renderer/include/rive/renderer/ore/ore_bind_group.hpp:27-63; cpp:renderer/src/ore/metal/ore_context_metal.mm:854-975
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-bind-group	renderer/include/rive/renderer/ore/ore_bind_group.hpp	m_context	non-owning raw Context pointer	Weak<ContextInner> or generational token	recording/GC boundary	resolves exact ContextMetal for deferred destruction	must not retain or dereference after context death	header claims defer route but pinned Context exposes no defer method	review-needed	cpp:renderer/include/rive/renderer/ore/ore_bind_group.hpp:65-68; cpp:renderer/src/ore/metal/ore_context_metal.mm:854-860
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-bind-group-layout	renderer/include/rive/renderer/ore/ore_bind_group_layout.hpp	m_groupIndex,m_entries,m_context	owned values plus dead non-owning raw Context pointer	u32,Vec<BindGroupLayoutEntry>; raw context omitted because ResourceHandle retains the deferred-release manager	creation/read-only	Metal BackendId is stored by the concrete trait implementation and checked before resource downcast	entries copied in authored order; manager outlives deferred destruction; dead context pointer is neither retained nor recreated	Metal writes m_context but pinned shared/Metal code never reads it; pending context unit owns group-range validation and error publication	prepared	cpp:renderer/include/rive/renderer/ore/ore_bind_group_layout.hpp:23-64; cpp:renderer/src/ore/ore_bind_group_layout.cpp:13-244; cpp:renderer/src/ore/metal/ore_context_metal.mm:1264-1285; rust:crates/nuxie-ore-metal/src/bind_group_layout.rs:48; rust:crates/nuxie-ore-metal/src/bind_group_layout.rs:97; rust:crates/nuxie-ore-metal/src/bind_group_layout.rs:587; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:695
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-binding-map	renderer/include/rive/renderer/ore/ore_binding_map.hpp	group,binding,kind,stageMask,backendSpace,backendSlot,textureViewDim,textureSampleType,textureMultisampled	owned packed values	BindingMapEntry with [u16;3]	creation/read-only	Metal consumes VS/FS slots	owned by map vector	fromBlob accepts unknown enum bytes/nonzero bool; larger entry size skips tail	prepared	cpp:renderer/include/rive/renderer/ore/ore_binding_map.hpp:154-172; cpp:renderer/src/ore/ore_binding_map.cpp:20-143
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-binding-map	renderer/include/rive/renderer/ore/ore_binding_map.hpp	m_entries,m_finalized	owned vector plus WITH_RIVE_TOOLS bool	Vec<BindingMapEntry>,cfg bool	creation/read-only runtime; tooling mutable	native slot lookup	copy duplicates values; fromBlob clears first	pre-loop parse failure leaves empty; tooling assertions/finalization remain cfg-specific	prepared	cpp:renderer/include/rive/renderer/ore/ore_binding_map.hpp:174-300; cpp:renderer/src/ore/ore_binding_map.cpp:83-185
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-buffer	renderer/include/rive/renderer/ore/ore_buffer.hpp	m_size,m_usage	owned immutable values	u32,BufferUsage	creation/read-only	none	owned with buffer	update range and usage validated	prepared	cpp:renderer/include/rive/renderer/ore/ore_buffer.hpp:16-44; cpp:renderer/src/ore/metal/ore_buffer_metal.mm:11-76
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-context-render-pass	renderer/include/rive/renderer/ore/ore_context.hpp	FrameDescriptor.externalCommandBuffer,FrameDescriptor.safeFrameNumber,FrameDescriptor.currentFrameNumber,m_features,m_lastError	borrowed frame pointer plus owned values/string	FrameDescriptor<'a>,Features,String	recording thread	external pointer conversion backend-specific	frame borrow call-only; context owns features/error	Metal ignores FrameDescriptor values; lastError printf truncates to 1023 bytes upstream	review-needed	cpp:renderer/include/rive/renderer/ore/ore_context.hpp:90-100; cpp:renderer/include/rive/renderer/ore/ore_context.hpp:117-176; cpp:renderer/include/rive/renderer/ore/ore_context.hpp:184; cpp:renderer/src/ore/metal/ore_context_metal.mm:1151-1156
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-context-render-pass	renderer/include/rive/renderer/ore/ore_context.hpp	m_activeRenderPass,m_manager	non-owning pass pointer plus optional strong manager	generation token,Option<Arc<GpuResourceManagerInner>> under custom release protocol	recording/manager thread	active token dispatches exact pass	pass not retained; Metal manager None	stale active pointer and manager shutdown/transfer require explicit design	review-needed	cpp:renderer/include/rive/renderer/ore/ore_context.hpp:176-191; cpp:renderer/include/rive/renderer/ore/ore_context_metal.hpp:73
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-pipeline	renderer/include/rive/renderer/ore/ore_pipeline.hpp	m_bindingMap,m_layouts,m_desc	owned map; strong nullable layout array; shallow descriptor copy	BindingMap,[Option<Arc<dyn BindGroupLayout>>;kMax],owned PipelineSnapshot	creation/read-only	layout identity preserved; modules concrete at creation	map copied VS else FS; layouts retained; every used desc referent must be retained/copied	upstream shallow pointers force owned-snapshot vs lifetime design	review-needed	cpp:renderer/include/rive/renderer/ore/ore_pipeline.hpp:20-102; cpp:renderer/src/ore/metal/ore_render_pass_metal.mm:29-65
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-context-render-pass	renderer/include/rive/renderer/ore/ore_render_pass.hpp	m_finished,m_colorFormats,m_colorCount,m_depthFormat,m_hasDepth,m_sampleCount	owned mutable/status compatibility values	bool,[TextureFormat;4],u32,TextureFormat,bool,u32	recording thread	none	owned with pass	commands after finish and incompatible pipeline fail validation	prepared	cpp:renderer/include/rive/renderer/ore/ore_render_pass.hpp:74-94; cpp:renderer/include/rive/renderer/ore/ore_context.hpp:192-285
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-context-render-pass	renderer/include/rive/renderer/ore/ore_render_pass.hpp	m_context,m_boundGroups	non-owning Context pointer plus strong nullable bind-group array	context lifetime/token plus [Option<Arc<dyn BindGroup>>;kMax]	recording thread	bound groups retain concrete Metal type	latest groups owned by pass; context must outlive pass	move/destruction and active-pass token require explicit owner topology	review-needed	cpp:renderer/include/rive/renderer/ore/ore_render_pass.hpp:80-102; cpp:renderer/src/ore/metal/ore_render_pass_metal.mm:152-221
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-rstb-container	renderer/include/rive/renderer/ore/ore_rstb_entry_container.hpp	RstbEntry.stage,RstbEntry.logical,RstbEntry.physical,RstbEntry.source,RstbEntryView.stage,RstbEntryView.logical,RstbEntryView.physical,RstbEntryView.source,RstbEntryView.sourceSize	owned producer fields; view owns strings and borrows source span	RstbEntry values; RstbEntryView<'a>{source:Option<&'a [u8]>}	producer/parser scope	none	view source cannot outlive blob	>255 encode returns empty; malformed parse may leave partial output; null zero-length source allowed	prepared	cpp:renderer/include/rive/renderer/ore/ore_rstb_entry_container.hpp:35-220
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-shader-module	renderer/include/rive/renderer/ore/ore_shader_module.hpp	TextureSamplerPair.textureGroup,TextureSamplerPair.textureBinding,TextureSamplerPair.samplerGroup,TextureSamplerPair.samplerBinding,GLFixupEntry.kind,GLFixupEntry.slot,GLFixupEntry.name,m_textureSamplerPairs,m_bindingMap,m_shaderAssetId,m_glFixup	owned nested values/vectors/map and cfg scalar	corresponding Rust values/Vec<u8>/BindingMap/cfg u32	creation/read-only	module preserves backend concrete type	all release with module; pipeline copies binding map	binding-map parse asserts; GL names preserve arbitrary std::string bytes; absent/version no-op, truncation preserves prefix, repeated apply appends	prepared	cpp:renderer/include/rive/renderer/ore/ore_shader_module.hpp:25-137; cpp:renderer/src/ore/ore_binding_map.cpp:83-143; rust:crates/nuxie-ore-metal/src/shader_module.rs:124
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-texture	renderer/include/rive/renderer/ore/ore_texture.hpp	m_width,m_height,m_depthOrArrayLayers,m_format,m_type,m_renderTarget,m_numMipmaps,m_sampleCount	owned immutable descriptor snapshot	TextureBase value fields	creation/read-only	trait preserves backend concrete identity	owned with texture	no independent post-construction failure	prepared	cpp:renderer/include/rive/renderer/ore/ore_texture.hpp:12-67
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-texture	renderer/include/rive/renderer/ore/ore_texture.hpp	m_texture,m_dimension,m_aspect,m_baseMipLevel,m_mipCount,m_baseLayer,m_layerCount	strong rcp<Texture> plus immutable values	TextureViewBase{texture:AnyResourceHandle,values}	recording/upload caller-serialized	Context/pass/view checked-downcast the exact intrusive payload to TextureMetal	view retains source texture through lifetime	wrong payload type fails before concrete access; ranges pass through unchecked	prepared	cpp:renderer/include/rive/renderer/ore/ore_texture.hpp:69-122; cpp:renderer/src/ore/metal/ore_context_metal.mm:523-562; cpp:renderer/src/ore/metal/ore_context_metal.mm:991-1017; rust:crates/nuxie-ore-metal/src/texture.rs:82
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-context-render-pass	renderer/include/rive/renderer/ore/ore_context_metal.hpp	m_mtlDevice,m_mtlQueue,m_mtlCommandBuffer	ARC strong device/queue and optional command buffer	Retained device/queue,Option<Retained command buffer>	recording; completion Metal thread	direct native owners	begin replaces command buffer; end commits/clears; destructor clears buffer,queue,device	Make accepts nil; beginFrame may obtain nil; beginRenderPass asserts nonnil	prepared	cpp:renderer/include/rive/renderer/ore/ore_context_metal.hpp:90-92; cpp:renderer/src/ore/metal/ore_context_metal.mm:1134-1196
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-context-render-pass	renderer/include/rive/renderer/ore/ore_context_metal.hpp	m_deferredBindGroups,m_currentSerial,m_completedSerial	owned strong group vector, scalar serial, shared atomic serial	Vec<Arc<dyn BindGroup>>,u64,Arc<AtomicU64>	recording to Metal completion thread	groups preserve BindGroupMetal	vector moves into completion; completed atomic outlives context when captured	pinned source declares/drains vector but has no writer; required producer unresolved	review-needed	cpp:renderer/include/rive/renderer/ore/ore_context_metal.hpp:94-102; cpp:renderer/src/ore/metal/ore_context_metal.mm:1151-1195
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-bind-group	renderer/src/ore/metal/ore_bind_group_metal.hpp	MTLBufferBinding.src,MTLBufferBinding.offset,MTLBufferBinding.binding,MTLBufferBinding.hasDynamicOffset,MTLBufferBinding.vsSlot,MTLBufferBinding.fsSlot,MTLTextureBinding.texture,MTLTextureBinding.vsSlot,MTLTextureBinding.fsSlot,MTLSamplerBinding.sampler,MTLSamplerBinding.vsSlot,MTLSamplerBinding.fsSlot,m_mtlBuffers,m_mtlTextures,m_mtlSamplers	non-owning buffer ptr backed by base owner; ARC native texture/sampler; owned values/vectors	direct strong/index relation to BufferMetal; Retained native handles; Vec records	recording thread	exact BufferMetal/ViewMetal/SamplerMetal sources	base owns logical resources; records own native texture/sampler handles	invalid slots skip entry; nil sampler preserved; raw buffer coupling must not dangle	review-needed	cpp:renderer/src/ore/metal/ore_bind_group_metal.hpp:13-49; cpp:renderer/src/ore/metal/ore_context_metal.mm:912-975; cpp:renderer/src/ore/metal/ore_render_pass_metal.mm:175-221
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-buffer	renderer/src/ore/metal/ore_buffer_metal.hpp	Backing.mtl,Backing.serial,m_pool,m_currentIndex,m_boundSinceUpdate,m_label	ARC native backing plus owned state/string	Retained<MTLBuffer>,u64,Vec<Backing>,usize,bool,String	recording; GPU asynchronous	direct native backing	pool owns all backings; completed reused; label copied to new backings	fresh allocation failure keeps current and update returns without write	prepared	cpp:renderer/src/ore/metal/ore_buffer_metal.hpp:36-53; cpp:renderer/src/ore/metal/ore_buffer_metal.mm:11-76
